Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Михалюк,Павло,Володимирович,Чоловіча,2004-09-25,Кінолог,хутір Рожище,"шосе Волна тупик, буд. 43 кв. 349, Покров, 02956",+380 65 954-52-60,artiushenkodan@example.com
Чміль,Алла,Романівна,Жіноча,1944-05-18,Інженер,хутір Ананьїв,"шосе Дальницька, буд. 025, Горохів, 62346",548-40-34,panchukhlib@example.net
Черненко,Геннадій,Богданович,Чоловіча,2002-06-17,Правник,селище Шаргород,"проспект Акордна, буд. 83 кв. 8, Ічня, 91633",233 06 35,sviatoslava66@example.org
Засенко,Василина,Леонідівна,Жіноча,2001-06-03,Локсмайстер,селище Белз,"сквер Амундсена, 1-й, буд. 8, Вуглегірськ, 37583",+380 00 445-09-92,petro53@example.org
Башполченко,Валентина,Богданівна,Жіноча,1973-01-04,Дантист,хутір Галич,"набережна Сабанєєв, буд. 5, Луцьк, 68133",699-29-25,oleksandrdemydenko@example.org
Девдюк,Єлисавета,Олександрівна,Жіноча,1999-09-28,Археолог,селище Миколаїв,"вулиця Виноградна 2-га, буд. 9, Ржищів, 10201",+380 01 947-85-68,iivanychuk@example.com
Чабан,Данна,Макарівна,Жіноча,1962-10-31,Математик,село Новомиргород,"шосе Житкова, буд. 80, Хрустальний, 95156",098 513-29-17,amvrosii90@example.org
Андрієнко,Пармен,Романович,Чоловіча,1976-11-20,Фотограф,хутір Рожище,"шосе Академіка Вільямса, буд. 4 кв. 504, Хоростків, 01336",334 44 31,volodymyra10@example.net
Кибкало,Олександр,Григорович,Чоловіча,1943-10-01,Слідчий,селище Новоукраїнка,"набережна Новосельского, буд. 2 кв. 06, Буринь, 77500",046 498 97 31,vitaliiiatsenko@example.net
Бебешко,Богодар,Михайлович,Чоловіча,1940-06-07,Економіст,селище Тячів,"провулок Новосельского, буд. 84, Немирів, 11753",+380 68 289-62-46,lizakybkalo@example.com
Козак,Михайло,Сергійович,Чоловіча,1949-03-03,Астронавт,місто Миргород,"узвіз Садова 4-та, буд. 368 кв. 3, Бобринець, 10227",563 71 00,semenchenkodemian@example.net
Зінкевич,Борис,Макарович,Чоловіча,1941-09-06,Правник,село Гребінка,"сквер Лінійний, буд. 4, Немирів, 54425",+380 90 078-69-77,bohodarsvystun@example.org
Коваленко,Василина,Євгенівна,Жіноча,1977-03-10,Лікар,село Мостиська,"вулиця Мічманський 2-й, буд. 15 кв. 31, Судова Вишня, 54953",593-91-83,markoilchenko@example.org
Батуринець,Опанас,Андрійович,Чоловіча,1938-12-15,Будник,хутір Міусинськ,"шосе Державіна, буд. 265 кв. 2, Роздільна, 17792",053 867 36 52,barabasholes@example.net
Дрозд,Назар,Петрович,Чоловіча,1984-02-14,Фотограф,селище Брянка,"набережна Овідіопольська дорога, буд. 0, Тернівка , 13710",229 41 75,hshelest@example.com
Дахно,Христина,Романівна,Жіноча,1946-09-16,Режисер,хутір Бучач,"шосе Сашка Хорошенка, буд. 753 кв. 365, Березань , 01048",215-51-29,panteleimon24@example.org
Вдовиченко,Оксана,Олегівна,Жіноча,1994-06-11,Петрограф,хутір Євпаторія,"шосе Східний 1-й, буд. 651, Джанкой, 94778",083 293-20-63,jshakhrai@example.net
Данилюк,Амалія,Григорівна,Жіноча,1966-08-31,Публіцист,місто Вовчанськ,"сквер Шовкуненка, буд. 020, Шепетівка, 28622",114-30-44,darahanvladyslav@example.org
Вернидуб,Амвросій,Олегович,Чоловіча,1946-05-28,Соціолог,селище Липовець,"набережна Коцюбинського, буд. 2, Долинська, 66174",097 169 29 35,babychsofiia@example.com
Малишко,Данило,Олегович,Чоловіча,1964-07-24,Євнух,місто Олександрівськ,"шосе Васнецова, буд. 822, Березне, 93197",+380 (29) 569-64-60,dannalazarenko@example.org
Онуфрієнко,Оксенія,Леонідівна,Жіноча,1987-03-11,Електротехнік,село Слов'янськ,"проспект Овідіопольська дуга, буд. 6 кв. 149, Борислав, 62327",544-64-64,bohdan98@example.org
Цибуленко,Азар,Михайлович,Чоловіча,1942-06-20,Гірничий інженер,селище Южне,"узвіз Самодіяльна, буд. 28 кв. 163, Коростишів, 22573",079 180 15 27,mykyta90@example.com
Лемешко,Орися,Євгенівна,Жіноча,1972-06-21,Архітектор,місто Корюківка,"набережна Сталепрокатна, буд. 1, Корюківка, 66171",+380 71 457-64-09,ostapzhalilo@example.com
Башполченко,Максим,Євгенович,Чоловіча,1992-04-12,Вчитель,хутір Коростень,"набережна Листяна, буд. 5, Бахмут, 09667",052 799-58-54,bohdanna31@example.com
Мазепа,Єфрем,Іванович,Чоловіча,1954-10-14,Прокурор,місто Путивль,"шосе Круговий, буд. 88 кв. 2, Марганець , 72820",+380 07 847 12 84,jnosenko@example.com
Тимчук,Руслан,Степанович,Чоловіча,2003-05-17,Патологоанатом,місто Бобринець,"проспект Лінія 39-та, буд. 2 кв. 03, Христинівка, 75906",+380 62 338-24-07,atamanchukvioletta@example.net
Кабалюк,Златослава,Григорівна,Жіноча,1952-08-16,Співак,хутір Олександрія,"парк Курська, буд. 3 кв. 4, Жидачів, 79583",+380 19 731-06-78,pylyp83@example.org
Охріменко,Віолетта,Богданівна,Жіноча,1983-09-19,Інженер,село Монастирище,"парк Туристський, буд. 8, Бобровиця, 56479",+380 06 452 32 58,nestor31@example.net
Пушкар,Олесь,Володимирович,Чоловіча,1979-01-29,Пекар,селище Зимогір'я,"вулиця Лінія 33-тя, буд. 824, Армянськ, 68302",223-02-33,hrechanykdavyd@example.net
Литвин,Григорій,Федорович,Чоловіча,1953-12-06,Зоолог,село Вуглегірськ,"вулиця Польова, буд. 83, Енергодар, 65270",736-10-04,daverchenko@example.com
Журба,Софія,Григорівна,Жіноча,1959-01-06,Доцент,хутір Таврійськ,"вулиця Михайла Грушевського, буд. 695 кв. 6, Першотравенськ, 01798",+380 65 297-62-24,alinamasokha@example.com
Гавриленко,Аврелій,Олегович,Чоловіча,2004-04-05,Педагог,місто Кодима,"проспект Палія Семена, буд. 1, Кропивницький, 57212",+380 96 744 01 28,sskyba@example.net
Деркач,Розалія,Григорівна,Жіноча,1958-12-29,Письменник,селище Жашків,"проспект Старопортофранківська, буд. 0, Біла Церква, 33319",040-83-68,zasukhataras@example.net
Аверченко,Орест,Андрійович,Чоловіча,1942-07-26,Кухар,місто Авдіївка,"проспект Новгородський, буд. 7 кв. 339, Стебник, 29993",458-12-98,huzmykhailo@example.org
Кабалюк,Марко,Олегович,Чоловіча,1987-10-25,Ді-джей,село Білозерське,"провулок Академіка Панкратової, буд. 0, Середина-Буда, 38966",+380 (79) 840-32-99,orysiakomar@example.org
Козак,Альберт,Юрійович,Чоловіча,1965-05-11,Адвокат,хутір Новояворівськ,"шосе Восьмого березня узвіз, буд. 477 кв. 91, Тростянець, 69126",562-57-07,vitalii86@example.net
Атаманюк,Мілена,Миколаївна,Жіноча,1994-04-30,Секретар,місто Кам'янка (Черкаська область),"проспект Сміливий, буд. 2, Васильків, 64082",+380 92 022-28-21,iryna91@example.org
Товстоліс,Олександр,Богданович,Чоловіча,1979-12-01,Диригент,місто Святогірськ,"парк Окружна, буд. 6 кв. 091, Хрустальний, 90482",+380 45 151-16-61,semen91@example.net
Забашта,Марта,Макарівна,Жіноча,1945-08-30,Реабілітолог,селище Радомишль,"вулиця Прохоровський, буд. 6, Зіньків, 67747",022 25 54,myron59@example.org
Таран,Богдан,Романович,Чоловіча,1947-01-12,Модельєр,селище Жовті Води,"набережна Проектний 5-й, буд. 0, Перечин, 23985",+380 43 811-77-94,makardatsiuk@example.net
Арсенич,Оксана,Олександрівна,Жіноча,1946-05-01,Програміст,селище Заліщики,"шосе Кладовищний, буд. 9 кв. 0, Овруч, 07238",+380 78 617-87-51,vladyslav30@example.org
Ажажа,Борис,Григорович,Чоловіча,1970-09-17,Програміст,селище Сокаль,"площа Кипарисний 3-й, буд. 682 кв. 341, Гайсин, 28847",097 821 29 60,chaikavarvara@example.org
Габелко,Юстим,Леонідович,Чоловіча,1983-07-11,Модельєр,місто Монастириська,"набережна Привокзальний, буд. 118 кв. 1, Бердянськ, 65709",387 76 89,boryslavilchenko@example.org
Андрійчук,Розалія,Сергіївна,Жіноча,1973-08-09,Шериф,селище Кам'янка (Черкаська область),"провулок Пантелеймонівська, буд. 24 кв. 17, Турка, 68685",762 68 30,vtarasenko@example.org
Ґереґа,Гордій,Дмитрович,Чоловіча,1999-03-23,Скульптор,місто Перевальськ,"сквер Канатна, буд. 55, Баранівка, 47418",184 57 95,shtokaloartem@example.com
Іваненко,Микита,Федорович,Чоловіча,1991-09-26,Кінорежисер,місто Білгород-Дністровський,"парк Китобійний 2-й, буд. 14, Хрустальний, 39540",297 50 97,zakharvovk@example.org
Акименко,Федір,Олегович,Чоловіча,1943-04-23,Секретар,село Південне ,"набережна Ольгіївський узвіз, буд. 241 кв. 21, Шахтарськ, 77977",+380 03 950-11-48,mykolaishvachka@example.com
Сацюк,Ада,Богданівна,Жіноча,1955-06-22,Скульптор,село Молочанськ,"сквер Десята, буд. 593 кв. 43, Новоукраїнка, 48229",365-90-58,leshaidabura@example.net
Матяш,Петро,Петрович,Чоловіча,2006-01-16,Кушнір,селище Біляївка,"проспект Пересипський міст, буд. 3, Марганець , 11190",291-94-67,veniiamynvlasenko@example.org
Ємельяненко,Камілла,Іванівна,Жіноча,1966-09-19,Публіцист,село Збараж,"набережна Мостовий, буд. 117 кв. 372, Сімферополь, 71943",074 565 99 66,nehodabohuslava@example.com
Андріїшина,Марина,Василівна,Жіноча,1966-08-09,Публіцист,село Турка,"набережна Ясна, буд. 31, Світлодарськ, 36753",405-09-58,svitlana78@example.net
Яремко,Леонтій,Дмитрович,Чоловіча,1948-12-19,Промисловець,хутір Новий Розділ,"проспект Соляний 7-й, буд. 01 кв. 6, Немирів, 04527",069 881 67 33,vzubko@example.com
Ільченко,Костянтин,Іванович,Чоловіча,1979-01-13,Електротехнік,село Чернігів,"набережна Іподромний, буд. 6, Монастирище, 10474",+380 48 947-55-91,shamraipanteleimon@example.net
Лаба,Миколай,Іванович,Чоловіча,1947-08-10,Няня,хутір Васильків,"набережна Спартаківський, буд. 5 кв. 304, Вознесенськ, 48521",+380 65 041-30-90,olhafranchuk@example.org
Цушко,Віра,Дмитрівна,Жіноча,1948-03-25,Пілот,селище Сорокине,"набережна Стороженка Олега, буд. 25 кв. 11, Вільнянськ, 26027",+380 (56) 396-22-36,veniiamyndevdiuk@example.net
Дахно,Світлана,Володимирівна,Жіноча,1948-08-23,Біолог,село Боярка,"сквер Трамвайний, буд. 64 кв. 262, Решетилівка, 24664",+380 06 195 45 08,waverchenko@example.org
Данченко,Ярина,Макарівна,Жіноча,1947-05-13,Бізнесмен,селище Шпола,"узвіз Восьмого березня узвіз, буд. 88 кв. 1, Гнівань, 50702",+380 97 986-59-97,zinkevychvira@example.com
Остапчук,Артем,Андрійович,Чоловіча,1961-01-31,Провізор,село Мена ,"площа Листяна, буд. 299, Дубровиця, 03891",047 762-86-74,ubairak@example.org
Павлик,Людмила,Петрівна,Жіноча,1987-05-06,Ріелтор,місто Чистякове,"узвіз Прорізна, буд. 249, Яготин, 80763",+380 70 953 73 73,vsvyrydenko@example.net
Матяш,Людмила,Богданівна,Жіноча,1972-05-12,Гірник,хутір Рівне,"шосе Дзвінка, буд. 84 кв. 48, Носівка, 66406",+380 16 004-61-34,uprytula@example.org
Баранець,Герман,Степанович,Чоловіча,1968-11-06,Менеджер,селище Суми,"набережна Аптекарський, буд. 61, Суходільськ, 10349",+380 (34) 785-86-45,mykhailyna34@example.org
Карась,Владислав,Дмитрович,Чоловіча,1991-06-01,Кіноактор,місто Тростянець,"проспект Якірний, буд. 592 кв. 48, Тетіїв, 07904",008 082-92-19,dannashylo@example.org
Ватаманюк,Симон,Олександрович,Чоловіча,1943-12-01,Ювелір,хутір Біла Церква,"набережна Водний, буд. 2 кв. 826, Новоазовськ, 10932",+380 24 419-50-75,rudykparmen@example.org
Гречаник,Гордій,Романович,Чоловіча,1947-11-20,Бухгалтер,селище Вараш,"сквер Князівська, буд. 16 кв. 2, Армянськ, 05540",773-11-31,vitrukdemyd@example.net
Перебийніс,Гаврило,Володимирович,Чоловіча,1999-09-22,Графік,хутір Глухів,"вулиця Локомотивний 1-й, буд. 55 кв. 1, Камінь-Каширський, 39786",+380 60 113 14 23,matiashdanylo@example.com
Калениченко,Петро,Степанович,Чоловіча,1992-04-07,Географ,село Іловайськ,"шосе Краснослобідський, буд. 867, Вижниця, 18455",027 075-90-65,amaliia66@example.org
Засенко,Вадим,Михайлович,Чоловіча,1950-09-02,Мистецтвознавець,селище Берестечко,"парк Вишневий, буд. 2 кв. 03, Новодружеськ, 03101",+380 95 248-05-76,kalchenkopylyp@example.com
Артимович,Сергій,Григорович,Чоловіча,1938-12-18,Дипломат,село Петрово-Красносілля,"вулиця Леваневського, буд. 0, Сімферополь, 80006",+380 29 175 70 05,olha79@example.net
Бабич,Ліза,Степанівна,Жіноча,1944-06-17,Графік,село Великі Мости,"узвіз Морська, буд. 13 кв. 50, Дрогобич, 81598",+380 (78) 932-08-66,azarzinchuk@example.org
Швачка,Аліна,Євгенівна,Жіноча,1947-03-06,Письменник,селище П'ятихатки,"проспект Студентський 1-й, буд. 0, Вознесенськ, 45669",013 853-25-26,dokhrimenko@example.net
Корпанюк,Марʼяна,Петрівна,Жіноча,1954-04-12,Різноробочий,хутір Калуш,"набережна Пугачова, буд. 06 кв. 18, Олександрівськ, 54209",547-32-47,bohodar76@example.org
Хомик,Варфоломій,Богданович,Чоловіча,1948-09-06,Бібліограф,село Вознесенівка,"вулиця Лютнева, буд. 047, Олександрія, 36751",048 568-94-73,tieremenko@example.com
Гаєвський,Теодор,Іванович,Чоловіча,1979-06-10,Фармацевт,хутір Чистякове,"набережна Офіцерський 2-й, буд. 3 кв. 16, Сулимівка (Слов'янськ), 41915",067 246-81-30,hazhazha@example.com
Власюк,Арсен,Романович,Чоловіча,2003-04-01,Бібліограф,хутір Середина-Буда,"площа Гладкова, буд. 78 кв. 91, Конотоп, 97232",699-30-59,stepankhudobiak@example.org
Чуприна,Соломон,Дмитрович,Чоловіча,1986-04-30,Фрілансер,село Ялта,"площа Тепла, буд. 91 кв. 94, Луганськ, 71670",000 175 51 79,bshmorhun@example.net
Онищенко,Ліза,Федорівна,Жіноча,1968-03-24,Філолог,хутір Долинська,"узвіз Катерининська, буд. 017, Тячів, 90446",228-73-72,okseniiagzhytska@example.org
Яремко,Тереза,Євгенівна,Жіноча,1954-06-25,Доцент,хутір Ананьїв,"шосе Стамбульський, буд. 627, Берегове, 06947",027 837 99 16,zzabila@example.net
Пелех,Валерій,Васильович,Чоловіча,1943-09-04,Історик,селище Білогірськ,"провулок Літературна, буд. 389 кв. 7, Селидове, 95054",084 087 47 19,bohodarvalenko@example.net
Мазур,Августин,Володимирович,Чоловіча,1953-12-09,Золотар,селище Броди,"вулиця Нафтовиків 3-й, буд. 1, Моспине, 61254",045 958-53-82,asaulabohdan@example.com
Цимбал,Тетяна,Григорівна,Жіноча,1950-10-07,Диригент,хутір Болехів,"провулок Пестеля, буд. 636 кв. 57, Галич, 19604",057 466-74-94,udovenkorozaliia@example.org
Аронець,Олена,Олександрівна,Жіноча,1975-12-25,Мікробіолог,місто Батурин,"провулок Дубова, буд. 254 кв. 00, Харцизьк, 41220",+380 24 781-60-73,ibaranyk@example.org
Гаврюшенко,Амалія,Сергіївна,Жіноча,1965-02-22,Епідеміолог,селище Боярка,"шосе Ф. Пішеніна, буд. 84 кв. 91, Полтава, 95925",+380 39 561-55-45,tdziuba@example.net
Шиян,Панас,Сергійович,Чоловіча,1945-08-14,Ветеринар,місто Алчевськ,"шосе Наявний 6-й, буд. 2 кв. 1, Старий Самбір, 79121",095 251-58-50,iemelianenkomyroslav@example.net
Ковпак,Світлана,Романівна,Жіноча,1962-06-03,Електромонтер,місто Коломия,"проспект Професора Коровицького, буд. 41 кв. 22, Старобільськ, 33070",400 25 07,vasylechkovalentyna@example.org
Хоменко,Тарас,Михайлович,Чоловіча,1981-03-07,Юрист,село Глобине,"набережна Дніпропетровська дорога, буд. 684, Кадіївка, 08907",508 00 91,chornovilteodor@example.org
Колесниченко,Маруся,Григорівна,Жіноча,1974-04-14,Сантехнік,село Шпола,"парк Короткий, буд. 014 кв. 80, Самбір, 53535",+380 (23) 586-15-21,viacheslavmazur@example.net
Оробець,Орхип,Юрійович,Чоловіча,1984-09-02,Гінеколог,хутір Шпола,"вулиця Станційна 1-ша, буд. 181 кв. 202, Довжанськ, 04486",+380 80 980-38-60,romanchukostap@example.net
Чуйко,Пилип,Володимирович,Чоловіча,1958-04-10,Машиніст,хутір Теребовля,"вулиця Кипарисний 2-й, буд. 373, Охтирка, 42070",+380 71 473-77-18,ddrozd@example.com
Салій,Олександр,Михайлович,Чоловіча,1949-02-19,Професор,селище Сєвєродонецьк,"площа Ванцетті, буд. 21, Хмельницький, 47005",111 78 95,gfranchuk@example.com
Скоробогатько,Вʼячеслав,Петрович,Чоловіча,1950-04-30,Графік,село Бершадь,"набережна Абрикосовий, буд. 1 кв. 90, Новгород-Сіверський, 78476",+380 52 270 88 98,vasylynahrechanyk@example.org
Шевченко,Аніта,Петрівна,Жіноча,1943-07-04,Редактор,хутір Долина ,"парк Перемоги, буд. 980 кв. 4, Святогірськ, 20708",+380 (66) 783-80-48,venedyktfurs@example.net
Пʼятаченко,Максим,Іванович,Чоловіча,1996-09-24,Євнух,хутір Дунаївці,"парк Пісочна, буд. 27 кв. 45, Теплодар, 86312",058 729-66-21,serhii07@example.com
Вахній,Валентина,Макарівна,Жіноча,1994-06-25,Ювелір,місто Кипуче,"набережна Новоукраїнський, буд. 340, Щолкіне, 87636",384-68-66,neporozhniiiefrem@example.com
Демʼянюк,Альбіна,Макарівна,Жіноча,1962-01-16,Нотаріус,село Моспине,"набережна 10-та Лінія Марії Демченко, буд. 5 кв. 2, Помічна, 29836",+380 (55) 990-10-85,zabaraiefrem@example.com
Карась,Гліб,Андрійович,Чоловіча,1979-04-06,Правник,хутір Ізюм,"узвіз Відважних, буд. 57, Острог, 64653",081-95-22,tarasenkotymofii@example.org
Фастенко,Левко,Макарович,Чоловіча,1983-04-21,Бібліотекар,місто Нова Одеса,"сквер Іванова, буд. 2, Куп'янськ, 50574",+380 (94) 279-93-01,rradchenko@example.org
Вишиваний,Гаврило,Євгенович,Чоловіча,2007-05-09,Сантехнік,місто Одеса,"вулиця Аеродромний 2-й, буд. 3, Джанкой, 23957",770-12-96,pabramenko@example.com
Гавриш,Стефан,Петрович,Чоловіча,1982-08-05,Філолог,місто Славута,"набережна Тещин міст, буд. 6, Семенівка, 94948",+380 (83) 407-36-28,riabetspetro@example.com
Жадан,Златослава,Петрівна,Жіноча,1958-02-03,Ґрунтознавець,місто Верхівцеве,"провулок Отрада, буд. 290 кв. 5, Шумськ, 09539",885-68-25,anzhelaskoryk@example.org
Чміль,Юстим,Володимирович,Чоловіча,1999-09-23,Редактор,хутір Новодружеськ,"проспект Велика Арнаутська, буд. 67 кв. 0, Харцизьк, 58972",187 70 10,teodortymchenko@example.org
Ребрик,Леон,Володимирович,Чоловіча,1966-10-20,Фермер,хутір Географія Вільнянська,"сквер Амурський 2-й, буд. 38, Арциз, 08869",707 93 59,tryhubokhrim@example.com
Левченко,Василь,Петрович,Чоловіча,1992-11-25,Продюсер,хутір Борислав,"провулок Чернігівська, буд. 7 кв. 3, Бережани, 81848",+380 37 816 75 33,ohaidai@example.net
Рак,Опанас,Макарович,Чоловіча,1974-02-03,Професор,село Ворожба,"парк Велика Арнаутська, буд. 9, Кролевець, 99265",+380 (90) 970-32-96,kyrylenkovarfolomii@example.net
Бебешко,Маруся,Петрівна,Жіноча,1949-09-02,Кушнір,село Бучач,"проспект Крутоярська, буд. 221, Перемишляни, 21239",956-46-32,edemianchuk@example.net
Бандера,Теодор,Сергійович,Чоловіча,1950-11-22,Астрофізик,місто Гайсин,"проспект Заньковецької, буд. 346, Угнів, 84667",480 44 05,khrystynadeisun@example.org
Шеремета,Богдан,Олександрович,Чоловіча,1955-03-21,Бібліотекар,селище Чистякове,"площа 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 571 кв. 5, Чистякове, 62626",026 679-27-52,mprytula@example.net
Артимишин,Ольга,Іванівна,Жіноча,1978-08-17,Дизайнер,хутір Енергодар,"сквер Шевченка, буд. 83, Середина-Буда, 75634",655 05 40,tsyrotenko@example.net
Корж,Мирослав,Олегович,Чоловіча,1993-04-07,Дипломат,місто Добромиль,"провулок Азовський, буд. 002, Городенка, 69171",+380 38 327 97 76,vasylynadubas@example.net
Скиба,Наталія,Миколаївна,Жіноча,1997-07-06,Ботанік,хутір Світловодськ,"парк Рульовий, буд. 0, Гола Пристань, 28031",+380 (70) 793-18-33,albina31@example.org
Перепелиця,Хома,Миколайович,Чоловіча,1969-03-20,Єгер,хутір Новоград-Волинський,"шосе Михайлівська, буд. 91, Карлівка, 76189",+380 33 931 12 60,nshmorhun@example.org
Корсун,Орися,Григорівна,Жіноча,2005-07-01,Будник,селище Яремче,"набережна Конструкторський, буд. 129 кв. 206, Євпаторія, 95796",699-15-50,makarhavrysh@example.com
Демиденко,Орест,Федорович,Чоловіча,1972-05-13,Промисловець,село Борислав,"шосе Ползунова 2-й, буд. 3 кв. 8, Судак , 67636",009 440 70 35,baranetsmarko@example.com
Журба,Веніямин,Дмитрович,Чоловіча,1993-09-22,Журналіст,місто Скалат,"вулиця Палубний, буд. 22 кв. 4, Берестечко, 64814",+380 71 323 23 45,semeniurchyshyn@example.com
Запорожець,Маруся,Михайлівна,Жіноча,1990-02-16,Петрограф,хутір Нововолинськ,"площа Чорноморський 11-й, буд. 9 кв. 3, Жовква, 23542",036 953-26-87,tbatiuk@example.com
Чміль,Сергій,Олегович,Чоловіча,1989-09-09,Ювелір,село Заставна,"узвіз Довга, буд. 122 кв. 6, Іллінці, 89842",+380 (69) 880-33-18,martynzaiets@example.org
Тимчук,Віра,Степанівна,Жіноча,1942-06-29,Випробувач,місто Перещепине,"шосе Старицького, буд. 0 кв. 03, Борщів, 38606",+380 45 729-68-27,neporozhniioleksandr@example.net
Щербань,Степан,Федорович,Чоловіча,1943-08-12,Математик,хутір Павлоград,"шосе 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 356 кв. 953, Коростишів, 25587",+380 94 277-79-73,dzyndraamvrosii@example.net
Медведенко,Веніямин,Федорович,Чоловіча,1970-08-23,Бібліотекар,хутір Шумськ,"площа Селищний, буд. 733, Кодима, 76055",680 12 00,hodunokspas@example.com
Затовканюк,Анастасія,Романівна,Жіноча,1951-11-05,Золотар,селище Мостиська,"провулок Приморська, буд. 6 кв. 61, Новоселиця, 33778",+380 19 735 27 35,solomontsiutsiura@example.com
Панчук,Любов,Іванівна,Жіноча,1977-01-24,Хореограф,селище Гірник ,"сквер Курганська, буд. 8 кв. 710, Люботин, 97050",093 443 82 91,abramenkokyrylo@example.com
Даценко,Златослава,Михайлівна,Жіноча,1976-07-13,Гицель,хутір Іловайськ,"набережна Улітіна, буд. 0 кв. 517, Ворожба, 57735",+380 (47) 916-30-41,opanas20@example.net
Захарченко,Трохим,Миколайович,Чоловіча,1939-02-14,Електротехнік,місто Мар'їнка,"узвіз Танфільєва, буд. 104 кв. 273, Кадіївка, 51113",+380 36 671-45-39,liubov04@example.net
Твердохліб,Аніта,Федорівна,Жіноча,1973-04-13,Няня,місто Вуглегірськ,"провулок Верф’яний, буд. 221 кв. 993, Українка , 62558",+380 79 604-89-11,artemiermolenko@example.org
Гаврилишин,Христина,Олександрівна,Жіноча,1963-12-14,Графік,місто Дрогобич,"провулок Мигдальна, буд. 07, Городище , 40845",828 60 52,ehaievskyi@example.net
Ващук,Борис,Григорович,Чоловіча,1976-07-18,Паралегал,селище Дніпрорудне,"провулок Сумська, буд. 660 кв. 37, Хуст, 12401",660 29 44,zynoviimykhaliuk@example.com
Сиротенко,Августин,Петрович,Чоловіча,1946-03-09,Диригент,хутір Біла Церква,"узвіз Оранжерейний, буд. 053 кв. 87, Світловодськ, 37583",086 895 86 33,leontii32@example.com
Дахно,Дмитро,Миколайович,Чоловіча,1939-07-23,Стоматолог,селище Верхівцеве,"сквер Дружний, буд. 71 кв. 73, Богодухів, 41596",+380 (79) 242-13-86,roksolanaostapchuk@example.net
Ковпак,Анастасія,Богданівна,Жіноча,1951-01-28,Реставратор,місто Узин,"набережна Пісочна, буд. 7 кв. 93, Миколаїв, 63499",196-74-76,stefansliusar@example.com
Базилевич,Альберт,Романович,Чоловіча,1979-11-12,Клоун,село Козятин,"провулок Черкаська, буд. 083 кв. 2, Кривий Ріг, 68557",+380 (26) 513-10-88,iemelianenkoonysym@example.org
Бабиченко,Ада,Богданівна,Жіноча,1992-08-27,Археолог,селище Маріуполь,"набережна Дворянська, буд. 975, Амвросіївка, 08311",501 57 48,romanchukievhen@example.net
Заєць,Трохим,Григорович,Чоловіча,1984-10-10,Дизайнер,село Сніжне,"сквер Багрицького, буд. 8, Севастополь, 11754",516 97 34,evasylechko@example.net
Іваничук,Ганна,Степанівна,Жіноча,1991-10-11,Візажист,село Долина ,"проспект Казковий, буд. 9, Чуднів, 36758",+380 40 432-92-12,ievhendevdiuk@example.com
Яценюк,Мілена,Юріївна,Жіноча,1951-01-11,Музикант,селище Винники,"вулиця Леха Качинського, буд. 1, Бердянськ, 12237",405 31 66,levko95@example.org
Абрамчук,Сергій,Макарович,Чоловіча,2007-04-12,Геофізик,село Середина-Буда,"парк Льва Толстого, буд. 594 кв. 1, Ірміно, 44984",478 71 41,alina43@example.net
Пустовіт,Георгій,Макарович,Чоловіча,1994-04-29,Графік,хутір Докучаєвськ,"вулиця Азовський, буд. 25, Кам'янець-Подільський, 03119",045 145 51 59,shakhraiedyta@example.com
Вдовенко,Ігор,Богданович,Чоловіча,1945-11-21,Хімік,село Мар'їнка,"площа Студентський 1-й, буд. 301 кв. 4, Татарбунари, 77337",022 49 27,rmykytiuk@example.net
Шухевич,Федір,Романович,Чоловіча,1992-08-15,Фізик,село Галич,"набережна Байдарочний, буд. 860 кв. 44, Бібрка, 78067",+380 53 727-29-75,serhii73@example.com
Онуфрієнко,Данна,Володимирівна,Жіноча,1980-11-15,Електрослюсар,селище Тараща,"вулиця Трудовий, буд. 8 кв. 7, Тернівка , 14421",251 49 89,volodymyra30@example.com
Дейсун,Макар,Миколайович,Чоловіча,1941-04-25,Мистецтвознавець,хутір Радомишль,"провулок Овідіопольський, буд. 35, Горохів, 50069",551 43 13,lytvynenkotetiana@example.org
Литвин,Роксолана,Миколаївна,Жіноча,1957-05-10,Промисловець,місто Гнівань,"вулиця Людмили Гінзбург, буд. 91, Тиврів, 65991",+380 (27) 305-17-84,illia64@example.net
Андрієвич,Софія,Олександрівна,Жіноча,1994-05-22,Паблік рилейшнз,селище Підгайці,"провулок Текстильників, буд. 722 кв. 88, Белз, 28290",501 06 33,prokopovychbohuslava@example.com
Носенко,Мартин,Дмитрович,Чоловіча,1954-05-17,Секретар,хутір Глобине,"набережна Рішельєвська, буд. 9 кв. 50, Болехів, 77603",606 12 23,rcharnysh@example.net
Оберемко,Ада,Олегівна,Жіноча,1945-01-07,Паралегал,селище Алчевськ,"набережна Абрикосовий, буд. 922 кв. 76, Ровеньки, 44684",027 311-61-90,xbairak@example.com
Редько,Георгій,Федорович,Чоловіча,1988-01-09,Секретар,селище Чорноморськ,"сквер Ключовий 2-й, буд. 1, Привілля, 72333",012 309-78-47,venedykt07@example.com
Носаченко,Едуард,Миколайович,Чоловіча,1973-12-19,Каскадер,місто Хмільник,"парк Наявний 2-й, буд. 3, Рені, 15712",+380 14 165-07-85,iaryna80@example.net
